Price,Adj Close,Close,High,Low,Open,Volume,MA50,RSI14
2020-03-13,67.53165435791016,69.49250030517578,69.9800033569336,63.23749923706055,66.22250366210938,370732000,76.45169975280761,45.068568126544235
2020-03-16,58.84390640258789,60.5525016784668,64.7699966430664,60.0,60.48749923706055,322423600,76.16099975585938,40.05291505656977
2020-03-17,61.4312858581543,63.21500015258789,64.40249633789062,59.599998474121094,61.877498626708984,324056000,75.93814979553223,41.593069510005456
2020-03-18,59.927452087402344,61.66749954223633,62.5,59.279998779296875,59.942501068115234,300233600,75.67249984741211,43.998927771568965
2020-03-19,59.468284606933594,61.19499969482422,63.209999084472656,60.65250015258789,61.84749984741211,271857200,75.4044497680664,43.661285929638446
2020-03-20,55.69290542602539,57.310001373291016,62.95750045776367,57.0,61.79499816894531,401693200,75.0346997833252,33.86071148191547
2020-03-23,54.509761810302734,56.09249877929688,57.125,53.15250015258789,57.02000045776367,336752800,74.60839973449707,34.60242997602262
2020-03-24,59.97847366333008,61.720001220703125,61.92250061035156,58.57500076293945,59.09000015258789,287531200,74.2911498260498,37.30454702266998
2020-03-25,59.6480712890625,61.380001068115234,64.5625,61.07500076293945,62.6875,303602000,73.93394989013672,38.796442597225735
2020-03-26,62.786930084228516,64.61000061035156,64.66999816894531,61.59000015258789,61.630001068115234,252087200,73.66274993896485,43.06569353164804
2020-03-27,60.18740463256836,61.935001373291016,63.967498779296875,61.76250076293945,63.1875,204216800,73.34474998474121,45.57842498918427
2020-03-30,61.905029296875,63.70249938964844,63.880001068115234,62.349998474121094,62.685001373291016,167976400,73.0426000213623,42.224033630741495
2020-03-31,61.77870559692383,63.5724983215332,65.62249755859375,63.0,63.900001525878906,197002000,72.72039993286133,44.345174514034255
2020-04-01,58.528079986572266,60.227500915527344,62.18000030517578,59.782501220703125,61.625,176218400,72.34209991455079,47.88561743137357
2020-04-02,59.504722595214844,61.23249816894531,61.287498474121094,59.224998474121094,60.084999084472656,165934000,71.97824981689453,38.79087586789683
2020-04-03,58.64955520629883,60.352500915527344,61.42499923706055,59.74250030517578,60.70000076293945,129880000,71.58914978027343,49.65259541947302
2020-04-06,63.7660026550293,65.61750030517578,65.77749633789062,62.345001220703125,62.724998474121094,201820400,71.30994979858399,53.82716157414345
2020-04-07,63.027435302734375,64.85749816894531,67.92500305175781,64.75,67.69999694824219,202887200,71.06234970092774,55.21241696643004
2020-04-08,64.64060974121094,66.51750183105469,66.84249877929688,65.30750274658203,65.68499755859375,168895200,70.80424972534179,58.372005334996146
